start_date,start_time,end_date,end_time,sum,Manual_Review,num_true_positives_pitchtracked
2/26/25,12:00:00,2/26/25,13:00:00,18,1,16
2/26/25,13:00:00,2/26/25,14:00:00,36,1,17
2/26/25,14:00:00,2/26/25,15:00:00,6,2,1
2/26/25,15:00:00,2/26/25,16:00:00,17,1,13
2/26/25,16:00:00,2/26/25,17:00:00,33,1,28
2/26/25,17:00:00,2/26/25,18:00:00,17,1,9
2/26/25,18:00:00,2/26/25,19:00:00,3,0,0
2/26/25,19:00:00,2/26/25,20:00:00,1,0,0
2/26/25,20:00:00,2/26/25,21:00:00,1,1,1
2/26/25,21:00:00,2/26/25,22:00:00,2,0,0
2/26/25,22:00:00,2/26/25,23:00:00,2,0,0
2/26/25,23:00:00,2/26/25,24:00:00,9,1,6
2/27/25,00:00:00,2/27/25,01:00:00,7,0,0
2/27/25,01:00:00,2/27/25,02:00:00,7,1,4
2/27/25,02:00:00,2/27/25,03:00:00,5,2,0
2/27/25,03:00:00,2/27/25,04:00:00,0,0,0
2/27/25,04:00:00,2/27/25,05:00:00,6,0,0
2/27/25,05:00:00,2/27/25,06:00:00,2,0,0
2/27/25,06:00:00,2/27/25,07:00:00,0,0,0
2/27/25,07:00:00,2/27/25,08:00:00,4,2,2
2/27/25,08:00:00,2/27/25,09:00:00,6,1,1
2/27/25,09:00:00,2/27/25,10:00:00,1,0,0
2/27/25,10:00:00,2/27/25,11:00:00,7,1,0
2/27/25,11:00:00,2/27/25,12:00:00,4,0,0
2/27/25,12:00:00,2/27/25,13:00:00,28,1,2
2/27/25,13:00:00,2/27/25,14:00:00,23,1,4
2/27/25,14:00:00,2/27/25,15:00:00,3,0,0
2/27/25,15:00:00,2/27/25,16:00:00,9,1,6
2/27/25,16:00:00,2/27/25,17:00:00,10,1,2
2/27/25,17:00:00,2/27/25,18:00:00,2,0,0
2/27/25,18:00:00,2/27/25,19:00:00,1,0,0
2/27/25,19:00:00,2/27/25,20:00:00,3,0,0
2/27/25,20:00:00,2/27/25,21:00:00,4,1,4
2/27/25,21:00:00,2/27/25,22:00:00,8,1,5
2/27/25,22:00:00,2/27/25,23:00:00,11,1,4
2/27/25,23:00:00,2/27/25,24:00:00,6,1,4
2/28/25,00:00:00,2/28/25,01:00:00,13,2,2
2/28/25,01:00:00,2/28/25,02:00:00,9,0,0
2/28/25,02:00:00,2/28/25,03:00:00,12,1,9
2/28/25,03:00:00,2/28/25,04:00:00,17,1,14
2/28/25,04:00:00,2/28/25,05:00:00,4,0,0
2/28/25,05:00:00,2/28/25,06:00:00,1,0,0
2/28/25,06:00:00,2/28/25,07:00:00,5,1,4
2/28/25,07:00:00,2/28/25,08:00:00,2,2,1
2/28/25,08:00:00,2/28/25,09:00:00,12,1,10
2/28/25,09:00:00,2/28/25,10:00:00,14,1,11
2/28/25,10:00:00,2/28/25,11:00:00,22,1,16
2/28/25,11:00:00,2/28/25,12:00:00,71,1,12
2/28/25,12:00:00,2/28/25,13:00:00,26,1,18
2/28/25,13:00:00,2/28/25,14:00:00,0,0,0
2/28/25,14:00:00,2/28/25,15:00:00,1,0,0
2/28/25,15:00:00,2/28/25,16:00:00,5,1,1
2/28/25,16:00:00,2/28/25,17:00:00,0,0,0
2/28/25,17:00:00,2/28/25,18:00:00,3,2,1
2/28/25,18:00:00,2/28/25,19:00:00,3,1,1
2/28/25,19:00:00,2/28/25,20:00:00,1,0,0
2/28/25,20:00:00,2/28/25,21:00:00,0,0,0
2/28/25,21:00:00,2/28/25,22:00:00,4,1,0
2/28/25,22:00:00,2/28/25,23:00:00,0,0,0
2/28/25,23:00:00,2/28/25,24:00:00,1,0,0
3/1/25,00:00:00,3/1/25,01:00:00,3,0,0
3/1/25,01:00:00,3/1/25,02:00:00,4,0,0
3/1/25,02:00:00,3/1/25,03:00:00,3,1,1
3/1/25,03:00:00,3/1/25,04:00:00,4,0,0
3/1/25,04:00:00,3/1/25,05:00:00,2,2,0
3/1/25,05:00:00,3/1/25,06:00:00,7,1,6
